name,"rating",review"
Amlptr Sc,"4.0","Tepat di kaki gunung dempo sehingga pemandangan bagus dan nyaman. Fasilitas dalam vila sudah cukup baik dan lengkap namun kebersihan kamar, sprei, handuk dan kamar mandi masih kurang. Semoga dapat diperbaiki"
Shendy Ferdila,"5.0","Tempat Favorit Keluarga Saat Berlibur di Kota Pagar Alam. Udaranya Sejuk dan Keindahan Alam yang Luar Biasa 👍👍👍 …"
MFMA FISHING CHANNEL,"5.0","Sejuk dingin kl malem, aman, tapi untuk shower air panas tidak semua kamar bisa"
Firman Syah,"2.0","viewnya bagus beud ngadep kebun teh dan gunung dempo, tapi sayang pelayanannya kurang oye... pernah nginep seminggu mbokya diganti sepreinya 3.0 hari sekali apa gimana..lelah kalo musti ngomong terus minta ini itu tar di bilang cerewet pulaa..hehehe (mudah2.0an bisa ditingkatkan pelayanannya)"
Hendra Fernansya,"1.0","Saya ketinggian charger 2.0 biji di kamar 2.003.0 pada tanggal 2.01.0.08.2.002.00, tapi gak ada petugas yg menghubungi saya, sampai saya menyadari hilangnya carger tersebut saat saya sudah kembali ke kota asal saya"
Desma Lina,"4.0","Murah, tp syg kurang terawat,kamar bau,lembab,cat bnyk yg terkelupas,ada semut di sprei nya,sprei jg seperti nya lama ga di ganti agak bau, 2.0x ketemu hewan kaki seribu yg kecil,mungkin karna deket perkebunan.."
Imam Tantowi,"5.0","Terdapat beberapa villa dengan ruangan & konsep yang menarik, tersedia aula serbaguna untuk kegiatan/acara kantor. Lingkungan bersih, cuaca sejuk, nyaman banget deh untuk acara keluarga & kantor mah..."
Riko Setiawan,"4.0","View nya keren bngg tp perlu di tingkatkn lg sprt di ksh wahana tmp bermain anak
Kolam renang dll"
Ridho Firmansyah 1.00,"4.0","1.0vila utk satu malam sekitar 1.0,4.0 . .kamar 3.0 luas free breakfast utk 6 orang.. langsung mengarah ke kebun teh...banyak spot foto disana.. fasilitas ada tv kulkas dan dispenser."
Yogi Beramanto,"5.0","Villa & Hotel GUGAR Resort Yang Apik dengan suasana alam yang segar dan menarik , mari berkunjung Ke Kota Pagaralam, Sumatera Selatan , objek wisatanya banyak sesuai dengan pilihan dan keinginan Anda Sendiri"
Hadie Danker,"4.0","Nyaman, sejuk dan pemandangan yang indah.
Namun sayang nya menu sarapan nya kurang begitu memuaskan.
Dan juga pada air yang habis pada saat pagi memberikan kesan yang kurang enak :("
Febrylian Fahmi,"4.0","Di tengah kerjaan menemukan spot dengan pemandangan yg sangat menawan dr Gn. Dempo adalah bonus yg tiada dua. …"
Febriansyah,"5.0","Tempat Menginap Yang Nyaman, langsung menghadap Gunung Dempo dan Areal Perkebunan Teh.
Cocok Buat Santai dengan Tempat Makan yang Cocok Buat Anak-anak dan Keluarga Anda berlibur, eeh cocok juga loh Buat Anda dan Rekan Kerja."
Selvira Herlina Mustika Parma,"5.0","Pemandangan langsung menghadap ke kebun teh, udara sejuk, dingin, dan di dalam villa disediakan tv, kulkas, meja makan, sofa empuk. 1.0 villa berisi 3.0 kamar.
Very recommended."
Dendi Aslam,"5.0","Villa oke buat kumpul sma kluarga besar.. view jendela langsung ke kebun teh.. ada beranda belakang jg."
Achmad Suhandi,"3.0","Sudah sedikit menua villa nya, kamar mandi kurang nyaman, tempat breakfast nya tak banyak pilihan makanan"
guntur setiawan,"5.0","Tempatnya ok, nyaman.Kamar hotel&villa bersih. Untuk keluarga lbh enak sewa villa👍👍👍 …"
Deep Fried,"4.0","Pemandangannya bagus, udara yang segar, tempat yang nyaman, ada tempat parkir yang luas. Sayangnya saya ga nginep di villa ini ketika berkunjung jadi saya tidak dapat memberikan review tentang harga dan fasilitas nya. Salah satu tempat …"
Lukman Sigit,"4.0","Villa Gunung Gare menawarkan pesona pemandangan yang begitu indah dan mempesona, Villa dikelilingi oleh Perkebunan Teh, suasana Hotel Nyaman dilengkapi kamar mandi yang memiliki air panas, cocok ditempati bersama keluarga."
Ary keong,"4.0","indah,sejuk dan nyaman 👍 , sayang cuaca kurang mendukung Gunung Dempo tidak terlihat full. …"
Henny Puspasari,"5.0","Tempat wisata yg asri sejuk dan indah...sangat cocok buat liburan klrga dan anak sekolah...nyaman banget krn tempatnya bersih dan ada fasilitas toilet dan masjid."
Harry Marthonis,"5.0","1.0. Asri
2.0. Bersih
3.0. Dekat objek wisata tangga 2.0001.0 …"
Soni Suprayogi,"4.0","View nya bagus....hanya saja fasilitas hotelnya agak kurang mendukung,masih ada potensi utk perbaikan."
Ilham Akbar,"5.0","Mantap villa nya untuk penginapan turis luar daerah.... Pagi2.0 buka jendela langsung melihat gunung dempo"
Lucky Joe,"5.0","Villanya bagus ada tiga kamar didalamnya twin bed, ruang tamu dengan sofa dan pemandangan gunung serta kebun teh"
Ade -,"5.0","Tempat penginapan yang cocok untuk menikmati pemandangan kebun teh di area pegunungan, dan menjadi tempat yang cocok untuk bersepeda gunung, akses ke gunung gare sangat mudah karena akses jalan aspal, dan kemudahan akses masjid nya."
idepicture _dwi,"5.0","View nya langsung ke gunung dan kebun teh mantap lah buat keluarga besar minimal orang 1.00 lah biar ngk kerasa mahal sewa satu vila nya"
Djoko Wursito,"5.0","Kamarnya bagus luas
Lokasinya bagus sekali"
Anggit Yugo P,"5.0","Lokasi oke buat nyantai, namun kalau fasilitas di lengkapi lebih oke lagi. masih kurang shampo di kamar mandinya. kasur dll overall mantap. Tambahin wifi lebih oke lagi."
DUTHA BUDI,"5.0","Rekomendasi banget...👍👍 …"
Preety Noona,"5.0","Buat penggila fhoto boleh kesini gaess... banyak spot baguss nih..jangan lupa pake jackets yakkss... Adeeemm😂 mantapss pokoknya👍👍👍 …"
Saudi Kisum,"4.0","Bagus tapi fasilitas yang dalam villa harus diperbaiki semua... ganti baru"
Adhita Dian,"5.0","Kamar bersih pelayanan oke pemandangan bagus"
Elly Suryani,"4.0","Resort, hotel dan vila di kaki Gunung Dempo, Pagar Alam, Sumatera Selatan. udara segar, kebun teh indah. Views sangat bagus. Fasilitas dan kebersihan hotel kurang."
campur aduull,"5.0","Vila yang bagus menyajikan pemandangan alam yang indah.dan banyak cafe yang menyediakan berbagai macam menu"
Hersonny Kristian,"4.0","Wisata alam yg indah, villa minus air panas, saran bagi pemda setempat agar lebih diperhatikan akses, dan fasilitas nya"
Mega Mashuri,"4.0","villa ini sangat bagus tempat menginap karena secara langsung dapat menikmati keindahan dan kesejukan udara disekitar gunung dempo"
Tribuana Tungga Dewi,"5.0","Bagus dingin sejuk"
sheira Finna,"5.0","Pelayanannya bagus dan udara pegunungan dingin dan sejuk sekaleeeee"
Jaringan Media,"4.0","Tempatnya bersih.
Lokasi cukup mudah dijangkau.
Pelayanan bagus.
Tempat parkir luas."
Nadia Arz,"3.0","Salah satu villa yang lokasi sangat strategis untuk melihat pemandangan Gunung Dempo tang begitu memukau. Dengan dikelilingi oleh kebun teh dan terdapat juga lokasi wisata yang sangat populer di Pagar Alam yaitu Tangga 2.0001.0.. semuanya …"
Artha,"5.0","Tempatnya Bagus, sejuk, kamarnya juga luas, satu kamar juga ga dibatasi orangnya"
Zona Rakasiwi,"4.0","tempat rapi, santay, menyatu dengan alam. harga sedikit tinggi dari rata"" but still worth it."
Hendri Anca,"5.0","Tempat refreshing yang sempurna pemandangan yang memanjakan mata"
Muhammad Rizki Putra (Rizki),"4.0","Villa luas, bersih, ademmm. Pemandangannya pas banget deket gunung. Tapi air krannya kadang2.0 mogok."
Sutris Cahyono,"5.0","Tempatnya baguss, nyaman, sejuk, dan recomended pokoknyaaa"
Ayu Anggraini,"4.0","Berapa harga permalam di villa ini y?  Tlong bantu jawab guys yg uda pernah nginep di villa ini. Makasih .."
Helen Ganefo,"5.0","Saya tidur di sana kamis malem.jumata 4.0-1.01.0-2.002.01.0  asik bisa lihat gunung dempo langsung"
Feronixa Ratu Aisyah,"4.0","bagus nyaman,klo bisa d tngkatkn lgi soal y d tmpt kmi nginap bnyak dpt binatang y,."
Ayg mita,"5.0","Suka banget dengan keindahan pagi siang dan sore, penenang buat malam hari"
Yurnanto HK Hattami,"5.0","Hotel dan villa Pemkot Pagaralam, Bagus dan rapi..bersih, cocok untuk keluarga"
Kurniawan Zainal,"4.0","Hotel lumayan bersih,  pas kalo mau ngumpul keluarga sayang suasana sudah gak begitu dingin lagi"
Haza Irin,"4.0","Tempatnya sangat nyaman,sejuk dan indah saya sangat menyukainya...."
Ahmad Jocker,"5.0","Tempat Rekreasi keluarga melepas lelah bersama keluarga"
Sanova A,"5.0","dingin & asri, enak kalau untuk lengantin bary"
Faldy Zuliardy,"3.0","A litle bit overpriced, fasilitas kurang, tapi space luas dan sejuk, cocok buat menenangkan diri."
Elliya Hayati,"4.0","Kurangnya fasilitas air hangat dan perlengkapan mandi"
Ather Lovely,"5.0","Rest area yang didukung spot perkebunan teh, tangga 2.0001.0 dan background Gunung Dempo."
RNV Official,"5.0","Tempat yang indah untuk para keluarga. Tepat untuk wisata dan selfie ria bersama keluarga dan teman"". Recomended tempat wisata khusus d pagar alam"
DyrghaVlog,"5.0","Salah satu kawasan wisata dan penginapan yang asri dengan pemandangan hijau membentang perkebunan teh dan gunung dempo"
Darwin A Putra,"5.0","Dengan pemandangan kebun teh,sangat nyaman"
Muhammad Sabri,"5.0","Te.patnya bersih dan aman harga bersahabat lagi"
erwan hadi,"4.0","Villa yg berada di kaki gunung dempo, udara bersih n suasana hotel yg alami..akan menaikkan semangatmu guys"
UMMI AII • CAA,"4.0","Buat yang mau jalan ke pagaralam , bisa datang ke villa ini , rekomen.. Keluar villa langsung bisa liat pemandangan gunung dempo yang indah"
Andre Nova,"2.0","Ada gak yg di sewakan kamar(1.0 kamar)  dan berapa persen malam nya?
Untuk 3.0 Malam"
Girindra Wardhana,"5.0","Viewnya mantap, langsung menghadap hamparan kebun teh dan gunung Dempo."
Derry,"1.0","sekarang jam 01.0.3.06 dini hari.. mau berak... air ngak hidup... kacau.."
Syahru Ramadhan,"5.0","Bagus, banyak spot foto yg instagramable"
Bayun Binantoro,"4.0","Pemandangan baik, tapi fasilitas minim"
Alfie Syahrin,"3.0","Beberapa sarana sdh harus diganti atw direhab.  Namun suasanyanya dan lokasi oke bgt u pecinta alam"
Riyantio amanda,"4.0","Tempat nya bagus pemandangan indah dan udara sangat segar"
ismail burhanan,"5.0","Sejuk, asri, meyegarkan, alam pegunungan yang bagus"
Deden Sucahyana,"3.0","Lokasi sangat bagus. Tetapi sayang fasilitas kamar banyak yang tidak memuaskan."
ilham fajriansyah,"5.0","Salah satu villa terbaik di pagar alam.
Tempat yang paling nyaman dan terbaik untuk liburan bersama keluarga atau rombongan."
Jeri Sutresna,"5.0","Tempatnya bagus buat nginep karena pemandanganya indah langsung ke kebun teh"
yenni yacob,"5.0","Tempat favorit menginap jika je Pagaralam"
irsal,"3.0","Penginapannya alakadar tp oke lah"
Ayie Yie,"5.0","Ditingkatkan lagii kebersihannya 🤗🤩 …"
Cooking Class Palembang Jakabaring,"5.0","Sayang sinyal lelet, viewnya ok banget"
Meilian Sabri,"5.0","View ny mantap, langsung menuju ke gunung dn kebun teh langsung 😁😁😁 …"
Budi Hartono,"4.0","Pemandangan kebun teh udara yang begitu sejuk villa yg nyaman"
Dauz Onyx,"4.0","Walaupun di awal masuk sedikit menyeramkan..tapi okelah"
Rekumi TV,"5.0","View yang diberikan ditempat ini sangat indah, begitu menyejukan, banyaj spot-spot foto yang intagramable"
novian fazli,"5.0","Tempat yang nyaman untuk istirahat dan menikmati pemandangan gn Dempo dan kebun teh"
bima ajie,"5.0","Bagi sayaTempat ini sangat merefresh diri saya setelah di sibukkan dengan pekerjaan dan dan suasana kota yg penat"
Andri Prasetio,"5.0","Tempat yang cocok bersama keluarga besar, bersih sejuk dan aman"
Si Tole Clk. Tole,"5.0","Tempatnya  lmayan enak mantap lah👍👍👍 …"
luna tour and travel,"5.0","Keren tempatnya
Nyaman dan asri sekaleeee"
done sanggara,"5.0","Hotel terbaik di wilayah gunung gare"
Wali MR,"5.0","Villa di kaki gunung dempo dengan pemandangan kebun teh dan latar belakang gunung dempo"
Radinal Akbar,"4.0","Villa nya bagus, view pemandangan juga dapat, tp sayang ada masalah di pemanas air."
Melati Hatta,"4.0","Penginapan sederhana dengan pemandangan luar biasa: kebun teh di kaki gunung Dempo"
Ari Saputra,"5.0","Mantap nice villa & resto"
dika Londo,"5.0","Istimewa...  Viewnya keren, lgsg ke kebun teh.. Recomendet deh.."
abecede,"4.0","Parkir luas, view bagus"
Lisa Andriani,"5.0","Cuma buat jalan2.0 refreshing....lain kali pingin nginep"
Pangeran Sriwijaya,"5.0","Negeri indah diatas awan, cuaca yang sejuk dan tenang..wajib dateng ke villa ini"
Sudaryono Daryono (Pakde),"5.0","Saya sangat nenyukai dg fasilitas yang nyaman"
Oka Oprinda,"3.0","Bagus suasananya tapi untuk makanan nya menurut lidah saya kurang"
Dylan Mahatva,"4.0","Hotelnya bersih dan nyaman....viewnya mantap...bikin rileks"
Wisnu Benny,"4.0","Tenpat sejuk dan nyaman tetapi sulit mencari tempat makan"
Ika M. P. Simbolon,"1.0","Air sering mati, ga bisa mandi sore. Listrik juga sering turun"
Akupunktur Jogja,"3.0","Tvnya gak ada sinyal dan g ada wifiny"
bungkil javana,"4.0","Pemandangan kebun teh yg terhampar luas menyegarkan mata"
Arie Vernandy,"2.0","Kotor, kurang terawat, wc bauk. Karyawan nya ramah"
Muhammad Ikhsan,"5.0","vila yg cukup rekomendasi untuk liburan keluarga"
Lensianggraini 1.02.001.0,"3.0","Tempat yg nyaman, sejuk, orangnya ramah dan menyenangkan."
Lisma Ria,"4.0","Pemandangan di sekelilingnya dipenuhi kebun teh"
Trionohendra Safei,"5.0","Sudah kurang dingin , kenapa ya ?"
Novita Bta,"2.0","Air nya suka mati"
Tri Nurrahman,"5.0","Tidak pernah bosan datang ksni..."
Kawi Boedisetio,"4.0","Pelayanannya tak terlalu baik..., pemandangan sekeliling... luarbiasa..."
Rinda Yulianti,"5.0","Kawasan yang nyaman, terbentang luas kebun teh"
Fadhlan Adhi putra,"5.0","Bersih,nyaman, pemandangan indah"
Akhmad Junior Zassaputra,"5.0","Villa yg cukup dekat dgn pegunungan dan suasana yg masih alami.."
Mirzon Rahimin,"3.0","Fasilitas masih kurang, breafast masih kurang baik."
widikda aja,"5.0","rekomended untuk menginap di vila gunung gare, atau hanya berwisata saja"
ramdan saja,"4.0","Segggggerrrr banget bun,,,"
Fransisca Koning,"5.0","Bersih... Nyaman... Enak buat ajak keluarga bersantai..."
OglaAgle 2.03.0,"5.0","Masih alami, udara seger.... cakep."
Husen Maki,"1.0","Kalo liburan lebaran, macetttttt, buat sekedar parkir aja susah"
Hery Purnomo,"4.0","Sudah 3.0 kali ke Villa ini, selalu ada kenagan yang berbeda-beda.."
minarsih mimin,"5.0","Indah dan sejuk
Kalo dak ke sini pasti ga mau pulang"
Marta Dinata (Jolor),"5.0","Lokasi di area kebun teh. Suasana nyaman sekali."
Gusti Setiawan,"5.0","Tempatnya keren, bersih..."
ZD 3.07,"5.0","Tempat yang Sejuk, nyaman dan asri"
Rita Kusuma,"5.0","Bersih dan nyaman. View nya bagus"
ONNI ABU BERY,"5.0","Semua pasilitas memuaskan"
muhammad firdaus,"5.0","Mantul buat nongkrong nongkrong"
Sefri Hardedy,"5.0","Sejuk, nyaman dan dingin"
Rafli Parhan akbar,"3.0","Penginapan yang dekat dengan gunung dempo"
Dodi Oktriansyah,"4.0","Tempat liburan dan rekreasi cocok untuk kelurga"
yudi cahyadi,"5.0","Suasana nyaman senyaman bogor.madih sejuk dan alami"
Refi Gasdom,"3.0","Stelh 8 thun bru smpt ksini lg"
yuda pebriansyah,"5.0","mantap karena disini sejuk xixixixi"
Osse Kirana,"5.0","Bagus dgn view gn Dempo yg tepat"
Muhammad Nopriansyah,"5.0","Mantap temptnya dingiiin gak perlu ac"
Nabila Nursyabani,"5.0","Pemandangan nya terbaik!"
ANA Nurazni,"5.0","Sejuk dn nyaman buat kumpul🤗🤗 …"
èď ò,"5.0","Cocok utk bawa keluarga"
Zumar Hakiki,"5.0","nyaman dingin view nya bagus"
hasan muslim,"4.0","cukup nyaman dengan kondisi alam yang indah"
Wilsubandi Wilsubandi,"4.0","Pemandangan dari restorannya langsung menghadap gunung.."
Dinda Lediza,"5.0","Tempat wisata pagaralam yang berada di gunung gare"
rico meylani,"5.0","villa resort terbaik dikota pagaralam, reccomended"
Steven Joseph,"5.0","Sejuk, nyaman"
Agustinus Riyanto SCJ,"5.0","A peacefull place at Pagaralam."
beta zuchdi,"4.0","hamparan teh menjadi suguhan di depan penginapan ini"
Zahdilo Aditama,"5.0","Tingkatkan. Dalam pelayanan. Grooming greting dan fasilitas"
ali khomeinie muhammad,"4.0","Kluar pintu dan jendela lgsg segerrrrrrr"
Ru Dini,"5.0","Saya suka"
Agus Cahayadi,"5.0","Sangat memuaskan.. dan nyaman sekali"
Muhammad Syukron,"5.0","Oke punya deket kebun teh"
suci poja wulandari,"5.0","Tempatnya yang indah dan panorama penginapannya yang menyejukan"
Triz dzi,"5.0","Tempat yang nyaman buat Holiday"
Ken Ogawa,"4.0","View sangat bagus. Harga terjangkau."
Alex Saputra,"4.0","Tempat yg indah untuk bermalam"
Syawaluddin Siregar,"2.0","Kamarnya biasa aja"
Yushardian Erawan,"5.0","Kebun teh membentang"
Figoes,"5.0","Mantapp viewnya"
It's me 02.074.0,"4.0","Udara segar, view indah, sarapan enak"
Dicky pranata Official,"1.0","Keren....sejuk dan nyaman."
firman Musa,"1.0","Lumayan dingin dan sejuk"
Fey Aazad,"5.0","Suasana nya adem"
Ririen Risman,"4.0","pelayanannya bagus"
Heri Asari,"5.0","Pelayanan nya sungguh memuas kan"
OM vis97,"4.0","Desa saya"
Herwan duasatu,"4.0","Pemandangan kebun teh terhampar indah"
hengky lesmana,"4.0","Cukup nyaman dan bersih..."
Darus Salam,"5.0","Pemandangan yg bagus"
Edi Wawan,"4.0","👍👍👍👍👍 …"
DOM ZONE,"4.0","Bagus"
moch henfi,"3.0","Mantaplah itu, benerlah itu dak salah lagi. Nyaman."
RH U,"5.0","Oke buat acara keluarga dan kantor."
indra palembang,"5.0","Villa dan hotel disekitaran dengan kebon teh"
Amrin Madani,"5.0","Menakjubkan/ indah sekali"
Ariek Attar,"5.0","Mantabss..  Nyaman..  Bersih.."
Miko Maura,"5.0","Kami senang berkunjung di sini"
Hery Purnomo,"5.0","Panorama nya bagus dan dingiiiiinn.."
Muhammad Jafriansyah,"4.0","Nyaman sejuk"
Hendra Firmansyah,"5.0","Tmpatnya kerenn"
m,"3.0","Kamar baik tapi makanan kurang"
Pandu palwa guna,"4.0","Sejuk nyaman"
User Aja,"5.0","Sangat  memuaskan"
Berlin Herlina,"5.0","Wow nyaman banget"
syarief wahid,"5.0","Ok banget"
Kurniawan Saputra Official,"5.0","Tempat wisata keren"
Muslim 1.03.0,"5.0","Amat baik"
Al Hafiiz,"5.0","Bagus. Nyaman"
Aryupi ando,"5.0","Sangat bagus"
nuub gaming,"5.0","Akorr villa hotel no 1.0 di pagaralam"
Zainudin Ariefin,"4.0","Mantap, dengan suasana yanv asri"
Niki satang,"5.0","Keren"
Asep Irawan,"1.0","🥶🥶 …"
alex_cubi2.02.0 cubi2.02.0,"1.0","Permalam nya berapa mbk"
