"username","Rating","text"
"Esen G","5/5","itu adalah pengalaman ya …"
"Kenan Ayvar","5/5","semoga libur …"
"Emre ÖZDEMİR","5/5","Sempurna …"
"Atakan Kara","5/5","Bagus …"
"OSMAN APAYDIN","5/5","Itu cantik"
"Mehmet","5/5","Tempat yang …"
"İbrahim Ocakverdi","5/5","Pilihan terb …"
"Atalay İlbey","5/5","Bagus"
"Ayşe Nil Güven","5/5","Sangat ba …"
"umut baris arslanoglu","5/5","Terbaik di A …"
"Ismet Ateşsoy","5/5","Canti …"
"Orhan POLAT","5/5","hotel yang …"
"Hasan Asan","5/5","Berhasil"
"Alter Noir","5/5","Tempat yan …"
"Mehmet Karaarslan","5/5","Itu bagus se …"
"Huseyin o","5/5","Super"
"Furkan Efe AKTAN","5/5","Sempurna"
"Mustafa","5/5","Itu luar biasa"
"Ömer Altı","5/5","Tempat yang bagus unt …"
"yiğithan tavşanoğlu","5/5","Tempat terbai …"
"ibrahim karataş","5/5","nyaman dan nyaman"
"Beste Tecirlioglu","5/5","Bagus seka …"
"oguz şeker","5/5","hotel pompa"
"Ugur Yavuz","5/5","Hotel yang bagus unt …"
"Taha Hijazi","5/5","Saya suka hotel ini"
"Ozgurr Bey","5/5","Luar biasa"
"Ömer Şahin","5/5","pengalaman super"
"Furkan TÜRER","5/5","BESAR"
"ali Demirel","5/5","Bagu …"
"Berkant Kara","5/5","Bagu …"
"ali Coşkun","5/5","Canti …"
"Ömer Yalçın","5/5","Terima kas …"
"Murat Yüksel Özgökçeler","5/5","Luar bi …"
"Kadir Guven Yildirim","5/5","Bagu …"
"sergen tırasolug","5/5","Canti …"
"Adam Smith","5/5","Luar bi …"
"Farouq Serdah","5/5","Bagu …"
"Nazer Raslan","5/5","Super"
"BAYKARA","5/5","Bagu …"
"adi Purnama","5/5","Layanan bagu …"
"Tuti Erawati","4/5",""
"ANDRE FEBRIANSYAH","5/5",""
"aldy buttowski","5/5",""
"Cici Amelia","5/5",""
"Aji Saputra","5/5",""
"Muhammad Roni Abdi Negara","5/5",""
"ipek barın","5/5",""
"Erdem Yalçın","5/5",""
"Ömer Taylan ŞEN","5/5",""
"ferhat agac","5/5",""
"punk*art","5/5",""
"Orxan rehimov","5/5",""
"Yahya Öztürk","5/5",""
"Güray BURHAN","5/5",""
"Adnan Yılmaz","5/5",""
"Kuleli Müşavir","5/5",""
"Aminullah","5/5",""
"Koray Erbey","5/5",""
"Ibragim Ibragimov","5/5",""
"Danial Yuliandik (Danil)","5/5",""
"Mehmet Gencosmanogullari","5/5",""
"Adfond Marketing","5/5",""
"İbrahim Yılmaz","5/5",""
"J J","5/5",""
"Hello Hello","5/5",""
"savaş paşaoğlu","5/5",""
"Ateş Berker Öngören","5/5",""
"gökhan","5/5",""
"Bora Kibritoğlu","5/5",""
"Alaattin sökmen","5/5",""
"Derry kamal rurrijal","5/5",""
"Gökçe Gezener","5/5",""
"İlayda Karaçelik","5/5",""
"turgay cvlan","5/5",""
"Avni Çağatay DEMİRAĞLI","5/5",""
"Baris Sahin","5/5",""
"Remzi CAN","5/5",""
"Marien Josephe INCE","5/5",""
"Eji Pramana","5/5",""
"Muzaffer oğul","5/5",""
"İSMAİL AYDIN","5/5",""
"Sadiq Sadiqov","5/5",""
"Emre Can Bozkurt","5/5",""
"Buğra Şahin","5/5",""
"Arendy San","2/5",""
"Zafer GÜZELGÜN","5/5",""
"mansar diman","5/5",""
"RIFAT OZGUR","5/5",""
"Mesdik Dik","3/5",""
"Rashad Gulum","5/5",""
"koray güler (KOKOLİLAS)","5/5",""
"Nazaruddin 1558","5/5",""
"İlhan Durna","5/5",""
"Puja Nurpa Safitri","5/5",""
"Terry fernst","5/5",""
"Aldoniansyah","5/5",""
"Ramazan Bayram KANMAZ","5/5",""
"Osman Kuzucu","5/5",""
"SERHAT GÜMÜŞBOĞA","5/5",""
"Meriç Erpehlivan","5/5",""
"Bintang Pga","5/5",""
"Samuray Acarbay","5/5",""
"Sadettin Baktir","1/5",""
"Sezer","5/5",""
"Büşra Turk","5/5",""
"Önder Ok","5/5",""
"Akhlak Kamiswara","5/5",""
"memetsan","5/5",""
"Mustafa Karaman","5/5",""
"Zafer Aşkan","5/5",""
"MDOP Gaming","5/5",""
"Mehmet Çatalkaya","5/5",""
"Pongki Santoso Edi","5/5",""
"ozan çiçek","5/5",""
"Sinem Şahin","5/5",""
"ömer akgün","5/5",""
"Resul Azizustaoğlu","5/5",""
"ERYAMAN TUNAFEN","5/5",""
"Caner Önal","5/5",""
"Radwan Nanous","5/5",""
"Emre Yener","5/5",""
"Giray Ugurlu","5/5",""
"Tuncay Gül","5/5",""
"Mehmet Kaya","5/5",""
"said ebubekir demir","5/5",""
"Burak Elma","5/5",""
"Atif Nemez","5/5",""
"Rose Homestay","5/5",""
"Mustafa Gülşen","5/5",""
"Ammar A","4/5",""
"Seymen Travel","5/5",""
"Batuhan VEZİROĞLU","5/5",""
"Dogukan Yuka","5/5",""
"Mehmet Can ÖZKARA","5/5",""
"Alfian Ramdhan","1/5",""
"Ahmet Sütçü","5/5",""
"Nihat Çakmak","5/5",""
"Riza Aydemir","5/5",""
